"class_name","full_type","title","title_key","description_key","card_type","rarity","target_type","multiplayer_constraint","is_upgradable","description","plain_description","mentions_statuses","strict_callouts","mention_only_statuses","applies_vulnerable","applies_weak","gains_strength","gains_vigor","grants_double_damage","gains_focus","applies_poison","support_signal"
"Abrasive","MegaCrit.Sts2.Core.Models.Cards.Abrasive","Abrasive","ABRASIVE.title","ABRASIVE.description","Power","Rare","Self","None","True","Gain {DexterityPower:diff()} [gold]Dexterity[/gold].
Gain {ThornsPower:diff()} [gold]Thorns[/gold].","Gain DexterityPower Dexterity. Gain ThornsPower Thorns.","","","","False","False","False","False","False","False","False","False"
"Accelerant","MegaCrit.Sts2.Core.Models.Cards.Accelerant","Accelerant","ACCELERANT.title","ACCELERANT.description","Power","Rare","Self","None","True","[gold]Poison[/gold] is triggered {Accelerant:diff()} additional {Accelerant:plural:time|times}.","Poison is triggered Accelerant additional Accelerant.","Poison","","Poison","False","False","False","False","False","False","False","False"
"Accuracy","MegaCrit.Sts2.Core.Models.Cards.Accuracy","Accuracy","ACCURACY.title","ACCURACY.description","Power","Uncommon","Self","None","True","[gold]Shivs[/gold] deal {AccuracyPower:diff()} additional damage.","Shivs deal AccuracyPower additional damage.","","","","False","False","False","False","False","False","False","False"
"Acrobatics","MegaCrit.Sts2.Core.Models.Cards.Acrobatics","Acrobatics","ACROBATICS.title","ACROBATICS.description","Skill","Uncommon","Self","None","True","Draw {Cards:diff()} cards.
Discard 1 card.","Draw Cards cards. Discard 1 card.","","","","False","False","False","False","False","False","False","False"
"AdaptiveStrike","MegaCrit.Sts2.Core.Models.Cards.AdaptiveStrike","Adaptive Strike","ADAPTIVE_STRIKE.title","ADAPTIVE_STRIKE.description","Attack","Rare","AnyEnemy","None","True","Deal {Damage:diff()} damage.
Add a 0{energyPrefix:energyIcons(1)} copy of this card into your [gold]Discard Pile[/gold].","Deal Damage damage. Add a 0energyPrefix copy of this card into your Discard Pile.","","","","False","False","False","False","False","False","False","False"
"Adrenaline","MegaCrit.Sts2.Core.Models.Cards.Adrenaline","Adrenaline","ADRENALINE.title","ADRENALINE.description","Skill","Rare","Self","None","True","Gain {Energy:energyIcons()}.
Draw 2 cards.","Gain Energy. Draw 2 cards.","","","","False","False","False","False","False","False","False","False"
"Afterimage","MegaCrit.Sts2.Core.Models.Cards.Afterimage","Afterimage","AFTERIMAGE.title","AFTERIMAGE.description","Power","Rare","Self","None","True","Whenever you play a card, gain {AfterimagePower:diff()} [gold]Block[/gold].","Whenever you play a card, gain AfterimagePower Block.","","","","False","False","False","False","False","False","False","False"
"Afterlife","MegaCrit.Sts2.Core.Models.Cards.Afterlife","Afterlife","AFTERLIFE.title","AFTERLIFE.description","Skill","Common","Self","None","True","[gold]Summon[/gold] {Summon:diff()}.","Summon Summon.","","","","False","False","False","False","False","False","False","False"
"Aggression","MegaCrit.Sts2.Core.Models.Cards.Aggression","Aggression","AGGRESSION.title","AGGRESSION.description","Power","Rare","Self","None","True","At the start of your turn, put a random Attack from your [gold]Discard Pile[/gold] into your [gold]Hand[/gold] and [gold]Upgrade[/gold] it.","At the start of your turn, put a random Attack from your Discard Pile into your Hand and Upgrade it.","","","","False","False","False","False","False","False","False","False"
"Alchemize","MegaCrit.Sts2.Core.Models.Cards.Alchemize","Alchemize","ALCHEMIZE.title","ALCHEMIZE.description","Skill","Rare","Self","None","True","Procure a random potion.","Procure a random potion.","","","","False","False","False","False","False","False","False","False"
"Alignment","MegaCrit.Sts2.Core.Models.Cards.Alignment","Alignment","ALIGNMENT.title","ALIGNMENT.description","Skill","Uncommon","Self","None","True","Gain {Energy:energyIcons()}.","Gain Energy.","","","","False","False","False","False","False","False","False","False"
"AllForOne","MegaCrit.Sts2.Core.Models.Cards.AllForOne","All for One","ALL_FOR_ONE.title","ALL_FOR_ONE.description","Attack","Rare","AnyEnemy","None","True","Deal {Damage:diff()} damage.
Put ALL 0{energyPrefix:energyIcons(1)} cards from your [gold]Discard Pile[/gold] into your [gold]Hand[/gold].","Deal Damage damage. Put ALL 0energyPrefix cards from your Discard Pile into your Hand.","","","","False","False","False","False","False","False","False","False"
"Anger","MegaCrit.Sts2.Core.Models.Cards.Anger","Anger","ANGER.title","ANGER.description","Attack","Common","AnyEnemy","None","True","Deal {Damage:diff()} damage.
Add a copy of this card into your [gold]Discard Pile[/gold].","Deal Damage damage. Add a copy of this card into your Discard Pile.","","","","False","False","False","False","False","False","False","False"
"Anointed","MegaCrit.Sts2.Core.Models.Cards.Anointed","Anointed","ANOINTED.title","ANOINTED.description","Skill","Rare","Self","None","True","Put every [gold]Rare[/gold] card from your [gold]Draw Pile[/gold] into your [gold]Hand[/gold].","Put every Rare card from your Draw Pile into your Hand.","","","","False","False","False","False","False","False","False","False"
"Anticipate","MegaCrit.Sts2.Core.Models.Cards.Anticipate","Anticipate","ANTICIPATE.title","ANTICIPATE.description","Skill","Common","Self","None","True","Gain {DexterityPower:diff()} [gold]Dexterity[/gold] this turn.","Gain DexterityPower Dexterity this turn.","","","","False","False","False","False","False","False","False","False"
"Apotheosis","MegaCrit.Sts2.Core.Models.Cards.Apotheosis","Apotheosis","APOTHEOSIS.title","APOTHEOSIS.description","Skill","Ancient","Self","None","True","[gold]Upgrade[/gold] ALL your cards.","Upgrade ALL your cards.","","","","False","False","False","False","False","False","False","False"
"Apparition","MegaCrit.Sts2.Core.Models.Cards.Apparition","Apparition","APPARITION.title","APPARITION.description","Skill","Ancient","Self","None","True","Gain {IntangiblePower:diff()} [gold]Intangible[/gold].","Gain IntangiblePower Intangible.","","","","False","False","False","False","False","False","False","False"
"Armaments","MegaCrit.Sts2.Core.Models.Cards.Armaments","Armaments","ARMAMENTS.title","ARMAMENTS.description","Skill","Common","Self","None","True","Gain {Block:diff()} [gold]Block[/gold].
[gold]Upgrade[/gold] {IfUpgraded:show:ALL cards|a card} in your [gold]Hand[/gold].","Gain Block Block. Upgrade IfUpgraded in your Hand.","","","","False","False","False","False","False","False","False","False"
"Arsenal","MegaCrit.Sts2.Core.Models.Cards.Arsenal","Arsenal","ARSENAL.title","ARSENAL.description","Power","Rare","Self","None","True","Whenever you create a card, gain {ArsenalPower:diff()} [gold]Strength[/gold].","Whenever you create a card, gain ArsenalPower Strength.","Strength","Strength","","False","False","True","False","False","False","False","False"
"AscendersBane","MegaCrit.Sts2.Core.Models.Cards.AscendersBane","Ascender's Bane","ASCENDERS_BANE.title","ASCENDERS_BANE.description","Curse","Curse","None","None","False","","","","","","False","False","False","False","False","False","False","False"
"AshenStrike","MegaCrit.Sts2.Core.Models.Cards.AshenStrike","Ashen Strike","ASHEN_STRIKE.title","ASHEN_STRIKE.description","Attack","Uncommon","AnyEnemy","None","True","Deal {CalculatedDamage:diff()} damage.
Deals {ExtraDamage:diff()} additional damage for each card in your [gold]Exhaust Pile[/gold].","Deal CalculatedDamage damage. Deals ExtraDamage additional damage for each card in your Exhaust Pile.","","","","False","False","False","False","False","False","False","False"
"Assassinate","MegaCrit.Sts2.Core.Models.Cards.Assassinate","Assassinate","ASSASSINATE.title","ASSASSINATE.description","Attack","Rare","AnyEnemy","None","True","Deal {Damage:diff()} damage.
Apply {VulnerablePower:diff()} [gold]Vulnerable[/gold].","Deal Damage damage. Apply VulnerablePower Vulnerable.","Vulnerable","Vulnerable","","True","False","False","False","False","False","False","False"
